lang,total,train,dev,test,train_short,train_medium,train_long,dev_short,dev_medium,dev_long,test_short,test_medium,test_long,train_dropped_romanized
en,240,192,24,24,78,18,96,10,2,12,10,2,12,0
pt,240,191,24,25,71,22,98,9,3,12,9,3,13,0
es,240,192,24,24,72,24,96,9,3,12,9,3,12,0
tr,240,192,24,24,83,12,97,10,2,12,11,1,12,0
ja,240,191,24,24,96,0,95,12,0,12,12,0,12,1
eo,240,193,24,23,90,6,97,11,1,12,11,0,12,0
io,240,192,24,24,92,4,96,12,0,12,11,1,12,0
ia,239,190,23,26,75,18,97,9,2,12,10,3,13,0
ie,240,192,24,24,96,0,96,12,0,12,12,0,12,0
lfn,240,193,24,23,90,6,97,11,1,12,11,0,12,0
vo,240,192,24,24,95,1,96,12,0,12,12,0,12,0
avk,240,192,24,24,89,7,96,11,1,12,11,1,12,0
jbo,240,192,24,24,89,7,96,11,1,12,11,1,12,0
en,240,192,24,24,78,18,96,10,2,12,10,2,12,0
pt,240,191,24,25,71,22,98,9,3,12,9,3,13,0
es,240,192,24,24,72,24,96,9,3,12,9,3,12,0
tr,240,192,24,24,83,12,97,10,2,12,11,1,12,0
ja,240,191,24,24,96,0,95,12,0,12,12,0,12,1
eo,240,193,24,23,90,6,97,11,1,12,11,0,12,0
ia,239,190,23,26,75,18,97,9,2,12,10,3,13,0
io,240,192,24,24,92,4,96,12,0,12,11,1,12,0
ie,240,192,24,24,96,0,96,12,0,12,12,0,12,0
lfn,240,193,24,23,90,6,97,11,1,12,11,0,12,0
vo,240,192,24,24,95,1,96,12,0,12,12,0,12,0
avk,240,192,24,24,89,7,96,11,1,12,11,1,12,0
jbo,240,192,24,24,89,7,96,11,1,12,11,1,12,0
am,290,232,29,29,103,26,103,13,3,13,13,3,13,0
ka,298,239,29,30,89,27,123,11,3,15,11,4,15,0
kek,75,60,8,7,16,22,22,2,3,3,3,2,2,0
fuf,116,92,11,13,2,48,42,0,6,5,1,6,6,0
ur,348,278,35,34,95,46,137,12,6,17,12,5,17,1
lo,295,236,30,29,97,22,117,12,3,15,12,3,14,0
km,299,237,30,30,87,34,116,11,4,15,10,5,15,2
my,296,236,30,30,81,29,126,10,4,16,10,4,16,0
dz,194,151,19,21,2,18,131,0,2,17,1,3,17,3
yo,292,233,29,30,90,24,119,11,3,15,11,4,15,0
